recipient,category,sub_category,dynamic_logic
7-ELEVEN,Auto and Transport,Auto - Gas,txn_amount >= 10
7-ELEVEN,Food and Dining,Groceries,txn_amount < 10
715 CLUB,Food and Dining,Bars,
A-B PETROLEUM,Auto and Transport,Auto - Gas,txn_amount >= 10
A-B PETROLEUM,Food and Dining,Groceries,txn_amount < 10
ACME FEED AND SEED ST,Food and Dining,Restaurant - Group,
ACTBLUE,Gifts and Donations,Political,
ADVANCE AUTO PARTS,Auto and Transport,Auto - Parts,
AIR CARE COLORADO,Auto and Transport,Auto - Required,
ALBERTSONS,Food and Dining,Groceries,
AMERICAN AIRLINES,Experiences,Flight,
AMERICAN BONDED,Food and Dining,Bars,
AMEX EPAYMENT,Bills and Utilities,Credit Card Payment,
ARAMARK COORS FIELD,Food and Dining,Bars,
ARGONAUT WINE,Food and Dining,Alcohol,
ATM FEE,Fees and Charges,Bank Service Fee,
ATM SURCHARGE REBATE,Fees and Charges,Bank Service Fee,
AUDIBLE,Entertainment,Audible,
AVANTI,Food and Dining,Bars,
AZITRA,Food and Dining,Restaurant - Group,
BACKCOUNTRY.COM,Hobbies,Snowboarding - Gear,
BEER HEAVEN,Food and Dining,Alcohol,
BISTRO BERRY,Food and Dining,Restaurant - Solo,
BLAKE STREET TAVERN,Food and Dining,Bars,
BONOBOS,Shopping,Clothes,
BREWERY,Food and Dining,Bars,
BRIDGEWATER GRILL,Food and Dining,Restaurant - Solo,
CALL TO ARMS BREWING,Food and Dining,Bars,
CARBON LOUNGE,Food and Dining,Bars,
CASH REWARDS REDEMPTION,Uncategorized,Credit Card Redemption,
CECILIA'S,Food and Dining,Bars,
CHEESE RANCH,Food and Dining,Restaurant - Solo,
CHIPOTLE,Food and Dining,Restaurant - Solo,
CIRCLE K,Auto and Transport,Auto - Gas,txn_amount >= 10
CIRCLE K,Food and Dining,Groceries,txn_amount < 10
CITIZEN RAIL,Food and Dining,Restaurant - Group,
CITY LIQUORS,Food and Dining,Alcohol,
CITY-MARK,Food and Dining,Groceries,
CLARK'S MARKET,Food and Dining,Groceries,
CLUB TAVERN,Food and Dining,Bars,
COFFEE,Food and Dining,Coffee,
COLORADO MOUNTAIN SCHO,Experiences,Hobbies,
COLORADO SAKE CO,Food and Dining,Bars,
COLORADO SAKE CO,Food and Dining,Bars,
CONOCO,Auto and Transport,Auto - Gas,txn_amount >= 10
CONOCO,Food and Dining,Groceries,txn_amount < 10
CONOCO - JENNY'S MARKET,Auto and Transport,Auto - Gas,txn_amount >= 10
CONOCO - JENNY'S MARKET,Food and Dining,Groceries,txn_amount < 10
CORNER STORE,Auto and Transport,Auto - Gas,txn_amount >= 10
CORNER STORE,Food and Dining,Groceries,txn_amount < 10
CRIMSON ROOM,Food and Dining,Bars,
CROOKED STAVE,Food and Dining,Bars,
CSM - FOOD COURT,Food and Dining,Restaurant - Solo,
CSM - WOW,Food and Dining,Groceries,
CubeSmart,Vanlife,Storage,
CUPPA JOE,Food and Dining,Coffee,
CURIO,Food and Dining,Restaurant - Group,
CVS/PHARMACY,Food and Dining,Groceries,
DAGAR,Experiences,Other,
DAILY HARVEST,Food and Dining,Groceries,
DAZBOG COFFEE,Food and Dining,Coffee,
DEATH &amp; CO,Food and Dining,Bars,
DENVER TEDS,Food and Dining,Restaurant - Solo,
DIA PARKING,Auto and Transport,Parking,
DICK'S CLOTHING,Shopping,Clothes,
DISCOVER,Bills and Utilities,Credit Card Payment,
DOORDASH,Food and Dining,Restaurant - Solo,
DOS GRINGOS,Food and Dining,Restaurant - Group,
DOWNING SUPERMARKET,Food and Dining,Groceries,
DTCOM,Experiences,Flight,
DUNKIN,Food and Dining,Coffee,
E 470 EXPRESS TOLLS,Auto and Transport,Tolls,
E-PAYMENT,Bills and Utilities,Credit Card Payment,
ELEVATIONCYCLES,Hobbies,MTB,
EXXONMOBIL,Auto and Transport,Auto - Gas,txn_amount >= 10
EXXONMOBIL,Food and Dining,Groceries,txn_amount < 10
FED'S AUTOMOTIVE,Auto and Transport,Auto - Maintenance,
FEDS AUTOMOTIVE,Auto and Transport,Auto - Maintenance,
FID BKG SVC,Investments,Investment - Deposit,txn_amount > 0
FID BKG SVC,Investments,Investment - Withdrawal,txn_amount < 0
FINNS MANOR,Food and Dining,Bars,
FIRESTONE,Auto and Transport,Auto - Maintenance,
FRONT RANGE FLEET,Vanlife,Van - Maintenance,
FUJI DENVER,Food and Dining,Restaurant - Group,
GEORGETOWN LIQUORS,Food and Dining,Alcohol,
GOLDEN SINCLAIR,Auto and Transport,Auto - Gas,txn_amount >= 10
GOLDEN SINCLAIR,Food and Dining,Groceries,txn_amount < 10
GONZO S COFFEE,Food and Dining,Coffee,
GOOD 2 GO,Food and Dining,Groceries,
GOOGLE *,Shopping,Technology,
GREASE MONKEY,Auto and Transport,Auto - Maintenance,
GRUBHUB,Food and Dining,Restaurant - Solo,
HAIRCUTS,Personal Care,Haircut,
HELLOFRESH,Food and Dining,Groceries,
HOME DEPOT,Miscellaneous,Tools,
HULU,Entertainment,TV,
IKON PASS,Hobbies,Snowboarding - Pass,
IL POSTO,Food and Dining,Restaurant - Group,
INTEREST CHARGE,Fees and Charge,Bank Service Fee,
INTEREST PAID,Fees and Charge,Bank Service Fee,
INTERNET PAYMENT,Fees and Charge,Bank Service Fee,
INTUIT,Taxes,Taxes - Federal,
ITR PORTAGE TOLLS ,Auto and Transport,Auto - Tolls,
JENNY'S MARKET,Auto and Transport,Auto - Gas,txn_amount >= 10
JENNY'S MARKET,Food and Dining,Groceries,txn_amount < 10
JUMPBIKESHAR,Auto and Transport,Ride Share,
KAGAN COUNSELING,Health and Fitness,Therapist,
KINDNESS COLLECTIVE,Health and Fitnees,Yoga,
KINDNESS YOGA,Health and Fitnees,Yoga,
KING SOOP,Food and Dining,Groceries,
KIWICO,Gifts and Donations,Holiday/Birthday,
KUM &amp; GO,Auto and Transport,Auto - Gas,txn_amount >= 10
KUM &amp; GO,Food and Dining,Groceries,txn_amount < 10
LATE FEES,Fees and Charges,Late Fees,
Laundry,Personal Care,Laundry,
LAUNDRY,Personal Care,Laundry,
LEGACY GRILL,Food and Dining,Restaurant - Group,
LEGACY RIDGE GOLF,Experiences,Hobbies,
LIBRARY,Fees and Charges,Late Fees,
LIQUOR STORE,Food and Dining,Alcohol,
LIQUORS,Food and Dining,Alcohol,
LOAF N JUG,Auto and Transport,Auto - Gas,txn_amount >= 10
LOAF N JUG,Food and Dining,Groceries,txn_amount < 10
LOS CHINGONES,Food and Dining,Bars,
LUSTRE PEARL,Food and Dining,Bars,
MARTA,Auto and Transport,Public Transport,
MARYANNE PASTRY SHOPPE,Food and Dining,Groceries,
MATCHBOX,Food and Dining,Bars,
MB STADIUM,Food and Dining,Bars,
MCDONALD'S,Food and Dining,Restaurant - Solo,
METHOD COLLECTI,Food and Dining,Coffee,
MI CASA-BRECKENRIDGE,Food and Dining,Restaurant - Group,
MINES PARKING,Auto and Transport,Parking,
MISCONDUCT TAVERN,Food and Dining,Bars,
MODMARKET,Food and Dining,Restaurant - Solo,
MOLLYS SPIRITS,Food and Dining,Alcohol,
MOOSEJAW,Shopping,Clothes,
MOUNTAIN STRONG DENVER,Health and Fitness,Gym,
NATURAL GROCERS,Food and Dining,Groceries,
NETFLIX,Entertainment,Netflix,
NFLSUNDAYTICKET,Entertainment,Sports,
NUDIES HONKY TONK,Food and Dining,Alcohol,
OC GOLF PKG,Hobbies,Other,
ORACLE AMERICA   SALARY,Salary,Oracle,
ORACLE BROOM,Food and Dining,Restaurant - Solo,
OSTERIA MARCO,Food and Dining,Restaurant - Group,
PARKING,Auto and Transport,Parking,
PARKWELL,Auto and Transport,Parking,
PHILLIPS 66,Auto and Transport,Auto - Gas,txn_amount >= 10
PHILLIPS 66,Food and Dining,Groceries,txn_amount < 10
PLANET FITNESS,Vanlife,Gym,
PON PON,Food and Dining,Bars,
POSTMATES,Food and Dining,Restaurant - Solo,
PROOF WINE,Food and Dining,Alcohol,
PUBLIC WORKS,Auto and Transport,Parking,
PUNCH BOWL SOCIAL,Food and Dining,Bars,
RECESS BEER GARDEN,Food and Dining,Bars,
RITE AID STORE,Food and Dining,Groceries,
ROOT DOWN,Food and Dining,Restaurant - Group,
ROSE CLEANERS,Personal Care,Drycleaning,
ROYAL FARMS,Food and Dining,Groceries,
RTD EAST,Auto and Transport,Public Transport,
RYE SOCIETY,Food and Dining,Restaurant - Solo,
SAFEWAY,Food and Dining,Groceries,
SENOR BEAR,Food and Dining,Restaurant - Group,
SERVICE CHARGE,Fees and Charges,Bank Service Fee,
SERVICE FEE,Fees and Charges,Bank Service Fee,
SEVEN GRAND,Food and Dining,Bars,
SHAKE SHACK,Food and Dining,Restaurant - Solo,
SHANE SIMMONS,Personal Care,Haircut,
SHELL OIL,Auto and Transport,Auto - Gas,txn_amount >= 10
SHELL OIL,Food and Dining,Groceries,txn_amount < 10
Spotify,Entertainment,Spotify,
SPROUTS FARMERS,Food and Dining,Groceries,
STANDLEY SHORES ACE,Miscellaneous,Tools,
STARBUCKS,Food and Dining,Coffee,
Stately Group,Uncategorized,ATM Withdrawal,
STEVES PRINCE OF STEAK,Food and Dining,Restaurant - Solo,
STOP N'SAVE,Auto and Transport,Auto - Gas,txn_amount >= 10
STOP N'SAVE,Food and Dining,Groceries,txn_amount < 10
SUN BASKET,Food and Dining,Groceries,
SUNGLASS HUT,Shopping,Clothes,
SUNOCO,Auto and Transport,Auto - Gas,txn_amount >= 10
SUNOCO,Food and Dining,Groceries,txn_amount < 10
SUSHI RONIN,Food and Dining,Restaurant - Group,
SWA INFLIGHT WIFI,Miscellaneous,Wifi,
THE BAGEL BARREL,Food and Dining,Restaurant - Group,
THE HISTORIANS ALE HOUSE,Food and Dining,Bars,
THE LOGAN PHILA,Food and Dining,Bars,
THE RACKHOUSE,Food and Dining,Alcohol,
THE SECRET STASH,Food and Dining,Restaurant - Group,
THE SOURCE,Food and Dining,Restaurant - Group,
THE STAGE ON BROAD,Food and Dining,Bars,
THE UPS STORE,Miscellaneous,Shipping,
THE WALNUT ROOM,Food and Dining,Restaurant - Solo,
THULE,Hobbies,Other,
TICKETMASTER,Experiences,Tickets,
TO CHECKING,Education,Loan Payment,bank == 'citizens'
To Checking,Education,Loan Payment,bank == 'citizens'
TOWN OF BRECKENRIDGE,Auto and Transport,Parking,
TOWN OF VAIL,Auto and Transport,Parking,
TRAVEL MART,Food and Dining,Groceries,
TST* MIDDLEMAN,Food and Dining,Restaurant - Group,
TST* VERO,Food and Dining,Restaurant - Group,
TWENTY ONE 01 CLEANERS,Personal Care,Drycleaning,
U.S. BANK N.A.   PAYMENT,Auto and Transport,Compass - Loan Payment,
UBER,Auto and Transport,Ride Share,
UCHI DENVER,Food and Dining,Restaurant - Group,
UNITED AIRLINES,Experiences,Flight,
UNITED AUTO,Vanlife,Auto - Maintenance,
USAA CHK-INTRNT,Uncategorized,Bank Transfer,
USAA CREDIT CARD PAYMENT,Bills and Utilities,Credit Card Payment,
USAA FUNDS TRANSFER,Uncategorized,Bank Transfer,
USAA INS PREMIU,Auto and Transport,Auto - Insurance,
USAA INSURANCE PAYMENT,Auto and Transport,Auto - Insurance,
USAA LOAN PAYMENT,Vanlife,Van - Loan Payment,
USAA.COM PAYMNT,Bills and Utilities,Credit Card Payment,
USPS PO BOXES ONLINE,Vanlife,PO Box,
VAIL - MAMIES,Food and Dining,Bars,
VERIZONWRLSS,Bills and Utilities,Phone,
VIVID SEAT,Experiences,Tickets,
VOICEBOX RINO,Food and Dining,Bars,
WAFFLE HOUSE,Food and Dining,Restaurant - Group,
WASHWAY LAUNDRY,Vanlife,Laundry,
WAWA,Auto and Transport,Auto - Gas,txn_amount >= 10
WAWA,Food and Dining,Groceries,txn_amount < 10
WESTBOUND &,Food and Dining,Restaurant - Group,
WESTMINSTER TOTAL BEVE,Food and Dining,Alcohol,
WHOLEFDS,Food and Dining,Groceries,
WINE AND SPIRITS,Food and Dining,Alcohol,
YOGA,Health and Fitnees,Yoga,
