
Plan name:,ORACLE CORPORATION  
Date Range,10/21/2017 - 10/21/2018,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
10/19/2018,VANGUARD TARGET 2055,CONTRIBUTION,"403.47","10.901"
10/02/2018,VANGUARD TARGET 2055,CONTRIBUTION,"403.47","10.335"
09/18/2018,VANGUARD TARGET 2055,CONTRIBUTION,"403.47","10.361"
09/05/2018,VANGUARD TARGET 2055,CONTRIBUTION,"403.47","10.436"
08/20/2018,VANGUARD TARGET 2055,CONTRIBUTION,"609.69","15.819"
08/02/2018,VANGUARD TARGET 2055,CONTRIBUTION,"351.52","9.116"
07/17/2018,VANGUARD TARGET 2055,CONTRIBUTION,"324.47","8.444"
07/05/2018,VANGUARD TARGET 2055,CONTRIBUTION,"324.47","8.595"
06/20/2018,VANGUARD TARGET 2055,CONTRIBUTION,"356.92","9.358"
06/04/2018,VANGUARD TARGET 2055,CONTRIBUTION,"438.05","11.455"
05/18/2018,VANGUARD TARGET 2055,CONTRIBUTION,"405.60","10.666"
05/03/2018,VANGUARD TARGET 2055,CONTRIBUTION,"356.92","9.587"
04/18/2018,VANGUARD TARGET 2055,CONTRIBUTION,"324.47","8.525"
04/03/2018,VANGUARD TARGET 2055,CONTRIBUTION,"448.18","12.119"
03/20/2018,VANGUARD TARGET 2055,CONTRIBUTION,"407.63","10.761"
03/05/2018,VANGUARD TARGET 2055,CONTRIBUTION,"292.03","7.734"
02/21/2018,VANGUARD TARGET 2055,CONTRIBUTION,"405.60","10.750"
02/02/2018,VANGUARD TARGET 2055,CONTRIBUTION,"425.88","11.062"
01/17/2018,VANGUARD TARGET 2055,CONTRIBUTION,"324.47","8.309"
01/03/2018,VANGUARD TARGET 2055,CONTRIBUTION,"317.11","8.358"
12/20/2017,VANGUARD TARGET 2055,REVENUE CREDIT,"1.58","0.043"
12/19/2017,VANGUARD TARGET 2055,CONTRIBUTION,"310.22","8.324"
12/04/2017,VANGUARD TARGET 2055,CONTRIBUTION,"272.99","7.414"
11/17/2017,VANGUARD TARGET 2055,CONTRIBUTION,"380.02","10.474"
11/03/2017,VANGUARD TARGET 2055,CONTRIBUTION,"335.04","9.204"
