


Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 12/29/2017, REINVESTMENT, FZFXX, FIDELITY TREASURY MONEY MARKET FUND,Cash,1.52,1,,,,-1.52,
 12/29/2017, DIVIDEND RECEIVED, FZFXX, FIDELITY TREASURY MONEY MARKET FUND,Cash,,,,,,1.52,
 12/15/2017, Electronic Funds Transfer Received,  , No Description,Cash,,,,,,200,
 12/08/2017, REINVESTMENT, FBGRX, FIDELITY BLUE CHIP GROWTH,Cash,0.724,87.13,,,,-63.03,
 12/08/2017, DIVIDEND RECEIVED, FBGRX, FIDELITY BLUE CHIP GROWTH,Cash,,,,,,0.84,
 12/08/2017, LONG-TERM CAP GAIN, FBGRX, FIDELITY BLUE CHIP GROWTH,Cash,,,,,,62.19,
 12/01/2017, Electronic Funds Transfer Received,  , No Description,Cash,,,,,,100,
 11/30/2017, REINVESTMENT, FZFXX, FIDELITY TREASURY MONEY MARKET FUND,Cash,1.1,1,,,,-1.1,
 11/30/2017, DIVIDEND RECEIVED, FZFXX, FIDELITY TREASURY MONEY MARKET FUND,Cash,,,,,,1.1,
 11/15/2017, Electronic Funds Transfer Received,  , No Description,Cash,,,,,,200,
 11/02/2017, Electronic Funds Transfer Received,  , No Description,Cash,,,,,,100,
 11/01/2017, Electronic Funds Transfer Received,  , No Description,Cash,,,,,,100,
 10/31/2017, REINVESTMENT, FZFXX, FIDELITY TREASURY MONEY MARKET FUND,Cash,0.84,1,,,,-0.84,
 10/31/2017, DIVIDEND RECEIVED, FZFXX, FIDELITY TREASURY MONEY MARKET FUND,Cash,,,,,,0.84,
 10/16/2017, Electronic Funds Transfer Received,  , No Description,Cash,,,,,,200,
 10/02/2017, Electronic Funds Transfer Received,  , No Description,Cash,,,,,,100,





"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC, 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC. Both are Fidelity Investment companies and members SIPC, NYSE."

"Date downloaded" 10/22/2018, 9:35 AM
